date,Hyle Alpha I,Sleeve A (standalone),Sleeve B (standalone),SPY
2026-05-04,11.658364319232337,6.004850778299358,18.092126361442986,1.7710712611923727
2026-05-05,11.969366173250249,6.054324888319684,18.90918893507599,1.7852791001701975
2026-05-06,12.21881096029913,6.120642786614607,19.48748234353704,1.8100934856071627
2026-05-07,11.898567264197446,6.119800816901421,18.469962718446613,1.8045435485064498
2026-05-08,12.043143286186892,6.0975326888050425,18.989393706624416,1.8194420463234744
2026-05-11,12.327569139238754,5.9740185350164765,20.27398568917876,1.8235859993586732
2026-05-12,12.138320320687917,5.931159782918968,19.798534059261076,1.8208233640018738
2026-05-13,12.38216979772755,5.884892838875369,20.750445983584434,1.831010581880071
2026-05-14,12.475471432332222,5.917942143247971,20.95239603910653,1.8454650847290386
2026-05-15,12.13031147046231,5.871633261972079,19.95666669462187,1.823265336326187
